topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,voxel 0.200000,283,0.09173,0.0315201,0.118346,4004.14,333.73,0.000125848,0,0,1,3.625,0.332521
/os_cloud_node/points_decim_1,voxel 0.500000,283,0.0207762,0.00753472,0.110959,3170.39,144.753,0.999161,0,0,1,3.625,0.0753137
/os_cloud_node/points_decim_1,uniform 0.010000,283,0.915829,0.0440143,2.73925e-183,15348.5,587.437,1.19782e-13,0,0,1,3.625,3.31988
/os_cloud_node/points_decim_1,uniform 0.020000,283,0.817349,0.103698,9.72897e-28,13978.9,1290.41,6.85667e-41,0,0,1,3.625,2.96289
/os_cloud_node/points_decim_1,uniform 0.050000,283,0.497617,0.117993,6.09188e-07,9849.08,1173.08,6.70955e-05,0,0,1,3.625,1.80386
/os_cloud_node/points_decim_1,uniform 0.100000,283,0.242986,0.0735319,0.0187873,7250.06,799.373,0.401696,0,0,1,3.625,0.880824
/os_cloud_node/points_decim_1,uniform 0.200000,283,0.09173,0.0315201,0.118346,5618.6,326.891,0.0369958,0,0,1,3.625,0.332521
/os_cloud_node/points_decim_1,uniform 0.500000,283,0.0207762,0.00753472,0.110959,4827.38,118.019,0.000245526,0,0,1,3.625,0.0753137
/os_cloud_node/points_decim_1,random 0.100000,283,0.0999985,0,1,1774.49,40.2002,8.13603e-32,0,0,1,3.625,0.362494
/os_cloud_node/points_decim_1,random 0.200000,283,0.199997,0,1,1919.13,41.6404,3.69314e-09,0,0,1,3.625,0.724989
/os_cloud_node/points_decim_1,random 0.300000,283,0.299995,0,1,2109.48,54.4752,1.31364e-21,0,0,1,3.625,1.08748
/os_cloud_node/points_decim_1,random 0.400000,283,0.399994,0,1,2298.51,55.3684,5.18448e-05,0,0,1,3.625,1.44998
/os_cloud_node/points_decim_1,random 0.600000,283,0.599998,0,1,2447.02,70.5582,0.00974212,0,0,1,3.625,2.17499
/os_cloud_node/points_decim_1,random 0.800000,283,0.799995,0,1,2337.19,96.3744,0,0,0,1,3.625,2.89998
