data_sequence,method,encode_speed,decode_speed,quantization_precision,slam_method,rmse,mean,median,std,min,max,sse
underground_mine,draco,10,10,9.0,LIORF,1.9852102728989394,1.7960618264786017,1.556175157900644,0.8457078355376823,0.33505707316424566,4.86123331554444,5541.130117638615
underground_mine,draco,10,10,6.0,LIORF,321.69929889159204,259.2097621037948,174.23862619050263,190.5275259311263,46.315241502602255,996.9575541229922,87759892.19342592
underground_mine,draco,10,10,8.0,LIORF,2.374889038445805,2.0009955393006646,1.6926846759409575,1.279107030951235,0.08260238778171695,6.6580662868867595,7929.977710571637
underground_mine,draco,10,10,11.0,LIORF,1.9597289934768147,1.5320261614690787,1.026839539049463,1.2220611966869617,0.053518910527378935,5.97640354949152,5399.796045390351
underground_mine,draco,10,10,10.0,LIORF,5.167324880044775,4.4584690214570335,3.592959374801268,2.61214478937093,0.5773772130860219,12.77752592409717,37541.95246079722
underground_mine,draco,10,10,7.0,LIORF,3.2344449735130656,2.8544394834266154,2.4771541732461526,1.521121139863335,0.09175833942572793,7.409678924760305,14709.057807077614
underground_mine,cloudini,,,0.001,LIORF,5.214896361584038,4.550944294093823,3.882717485492237,2.5463798016237313,0.5713817430771942,12.426314950497948,38236.37255125978
underground_mine,cloudini,,,0.5,LIORF,778.9146068167815,680.1762294266596,479.2814817245646,379.56325116569633,334.822846011432,1700.233219707206,549677416.0295625
underground_mine,cloudini,,,0.1,LIORF,2.8521038401467984,2.762726727637583,2.9414135072222036,0.7084047877993541,1.0519521418873616,5.154480218956735,11437.10181886204
underground_mine,cloudini,,,0.2,LIORF,0.8630070977163644,0.7117407514659222,0.5419603184560218,0.48806388251083166,0.10272628188536059,4.151921125086672,1047.1624384966044
underground_mine,cloudini,,,0.01,LIORF,4.466106494800231,3.8640142193767866,3.14994878123332,2.2395314990753774,0.8035223896096018,11.312578453092872,28024.280648170014
cloister,draco,10,10,9.0,LIORF,5.8216317089320135,3.759825475937945,2.5237337347159188,4.444671882707507,0.5288846647397222,23.305195527711774,94319.75438461396
cloister,draco,10,10,6.0,LIORF,1166.5655520386408,1104.3283142869368,935.1927884216224,375.9443595366091,441.1664770719255,1911.9090756990418,1781385620.0490136
cloister,draco,10,10,8.0,LIORF,24.593031590571726,5.546506940640791,1.5590173080247625,23.95941283863781,0.2786415482853509,556.4879234800293,1657199.1357127135
cloister,draco,10,10,11.0,LIORF,4.5087475033524465,2.596675171806472,1.3390826151652595,3.68593028977906,0.36569591546329316,15.89111312585062,56575.0616683306
cloister,draco,10,10,10.0,LIORF,23.687487589158657,4.541545656463178,1.2065881136834629,23.24804145163213,0.08103897213438596,505.306001435113,1540211.4524465671
cloister,draco,10,10,7.0,LIORF,2354.1997248829252,2171.9690983303703,2515.013013386911,908.1886260776436,392.8165926135342,3957.696267763172,6174073567.92767
cloister,cloudini,,,0.5,LIORF,2864.430560015332,2671.703264014001,2458.3710457248567,1032.9395443135486,607.0096903374061,4675.848027083997,11872580640.767685
cloister,cloudini,,,0.2,LIORF,4.542806623400429,2.2483302845471864,0.9059008760647462,3.947417250456147,0.15879306136296287,15.826889017150409,57453.66417702847
cloister,cloudini,,,0.1,LIORF,3.428831882647411,1.8249496956826836,0.9816104382237838,2.902834250811966,0.16468031441894637,13.903573835425293,32719.41952513548
cloister,cloudini,,,0.001,LIORF,5.782829918434559,3.1490403769299955,1.3626878611249023,4.850223352589698,0.4863243339228738,20.53950546056638,93100.08327366851
cloister,cloudini,,,0.01,LIORF,4.215330839211742,2.490327715317268,1.3312575568272083,3.401070707046862,0.4556553502915737,14.79380109490248,49451.16619579862
quad_easy,draco,10,10,9.0,LIORF,0.1763716568076165,0.16116698211586705,0.14995012691996165,0.07163913176977676,0.013105415365060763,0.4367638307829724,61.747318230251345
quad_easy,draco,10,10,6.0,LIORF,10694.56754037715,10406.905289422486,9009.397022298055,2463.7567194588883,1336.9968007124817,14168.432152860232,106024489309.76328
quad_easy,draco,10,10,8.0,LIORF,0.17725408424846778,0.1623019979980505,0.15199291388944822,0.07125357414616981,0.010010978811457481,0.44354392181712093,62.366735609784385
quad_easy,draco,10,10,11.0,LIORF,0.1759459759425762,0.16066106979593456,0.15058413815541377,0.07172870487058479,0.014742785798100472,0.44625458476714,61.44961810401542
quad_easy,draco,10,10,10.0,LIORF,0.17557088382940023,0.160295678301865,0.14967468250027205,0.07162702539113125,0.015625381983004026,0.44740399875439846,61.18789346854395
quad_easy,draco,10,10,7.0,LIORF,0.18278966034190314,0.16671059899393875,0.1552215753686626,0.07496423221103819,0.013846432757574632,0.4458059783251997,66.322938956898
quad_easy,cloudini,,,0.5,LIORF,0.17828964653788637,0.16364739500182304,0.1568485864555371,0.07075823748314938,0.011245388601053147,0.4846140142572686,63.09758815426986
quad_easy,cloudini,,,0.001,LIORF,0.1721647142116643,0.15769930316372727,0.14853974694311856,0.06907690352975357,0.012868460593580886,0.4312083542881525,58.86640799569391
quad_easy,cloudini,,,0.01,LIORF,0.17320675244608277,0.15873853506647717,0.1497353969753208,0.0693012018500934,0.010897599948068597,0.429673716473022,59.58115007853634
quad_easy,cloudini,,,0.1,LIORF,0.17208298364421354,0.15738838050755072,0.14790627003003687,0.06958053564830531,0.013201068553685457,0.43452865471483243,58.8105307741508
quad_easy,cloudini,,,0.2,LIORF,0.17285784275367763,0.15846289621131182,0.14970996387464702,0.06906043965815857,0.014798120570033525,0.4445191072406135,59.34134992968991
maths_institute,draco,10,10,9.0,LIORF,0.1966754070699561,0.1781046834029561,0.1685106151161093,0.08342623985333213,0.007952553532413337,0.599163540741872,83.35801993291648
maths_institute,draco,10,10,6.0,LIORF,4069.619685408666,2899.2272532935644,863.1404131490398,2855.9211679641267,486.67097722457817,14119.607881469752,17837063321.42339
maths_institute,draco,10,10,8.0,LIORF,0.19883485089906275,0.18121678321335272,0.17036133963334035,0.08182771788249527,0.016974315205206668,0.5947198715408081,85.19856704357318
maths_institute,draco,10,10,11.0,LIORF,0.1961277705498716,0.1780629952290404,0.16850589785726822,0.0822172251473243,0.01203529515093688,0.596242965927323,82.89445063075993
maths_institute,draco,10,10,10.0,LIORF,0.18882566999095263,0.1707368535990693,0.1617279540922915,0.08064775552129227,0.009206733160372883,0.585289017730794,76.83681301043178
maths_institute,draco,10,10,7.0,LIORF,0.24313805026724206,0.21849229548546553,0.20344902675969587,0.10666409096433513,0.012259244499531564,1.2965937186075556,127.39522025611402
maths_institute,cloudini,,,0.01,LIORF,0.1796813167899648,0.1613599217316271,0.15058862766903827,0.07904651328261653,0.009866082498376373,0.646119374259174,69.60726980087799
maths_institute,cloudini,,,0.5,LIORF,0.18609206602220565,0.16687393403256306,0.15494794861008693,0.08236107804605731,0.013494059214380743,0.6331472026073378,74.6282039134699
maths_institute,cloudini,,,0.2,LIORF,0.18572097570402382,0.16834656802621525,0.1591068174054244,0.07843286205570651,0.008352343410102119,0.6191418646884929,74.33086515945968
maths_institute,cloudini,,,0.001,LIORF,0.17822149481649033,0.15956746807312686,0.14851159128882016,0.0793796217385541,0.012152488897683627,0.6267722280913911,68.48081501872997
maths_institute,cloudini,,,0.1,LIORF,0.18442727179029111,0.16654598758100014,0.1570303032176678,0.07922027897375299,0.012204367700353644,0.6173088737649902,73.33293045850137
park,draco,10,10,9.0,LIORF,0.45479542624199004,0.420414297311467,0.4056032079375621,0.1734667067386097,0.019013006486073545,2.051389940283539,3245.3020229736385
