topic,method,sample_index,ratio,time_usec,decompress_usec,uncompressed_MB,compressed_MB,compressed_zstd_MB
/os_cloud_node/points_decim_1,ZSTD only,62,0.412863,15154,5248,6,2.47718,
/os_cloud_node/points_decim_1,ZSTD only,63,0.426428,15367,5186,6,2.55857,
/os_cloud_node/points_decim_1,ZSTD only,64,0.426005,15458,5222,6,2.55603,
/os_cloud_node/points_decim_1,ZSTD only,65,0.424964,15655,5236,6,2.54978,
/os_cloud_node/points_decim_1,ZSTD only,66,0.424454,15397,5214,6,2.54673,
/os_cloud_node/points_decim_1,ZSTD only,67,0.421939,15329,5228,6,2.53163,
/os_cloud_node/points_decim_1,ZSTD only,68,0.41934,15415,5193,6,2.51604,
/os_cloud_node/points_decim_1,ZSTD only,69,0.416057,15326,5264,6,2.49634,
/os_cloud_node/points_decim_1,ZSTD only,70,0.417886,15457,5173,6,2.50732,
/os_cloud_node/points_decim_1,ZSTD only,71,0.418047,15583,5241,6,2.50828,
/os_cloud_node/points_decim_1,ZSTD only,72,0.416834,15526,5224,6,2.501,
/os_cloud_node/points_decim_1,ZSTD only,73,0.417991,15307,5198,6,2.50795,
/os_cloud_node/points_decim_1,ZSTD only,74,0.420516,15315,5182,6,2.5231,
/os_cloud_node/points_decim_1,ZSTD only,75,0.418757,15066,5238,6,2.51254,
/os_cloud_node/points_decim_1,ZSTD only,76,0.42243,15177,5219,6,2.53458,
/os_cloud_node/points_decim_1,ZSTD only,77,0.427282,15469,5362,6,2.56369,
/os_cloud_node/points_decim_1,ZSTD only,78,0.426512,15308,5280,6,2.55907,
/os_cloud_node/points_decim_1,ZSTD only,79,0.428217,15221,5265,6,2.5693,
/os_cloud_node/points_decim_1,ZSTD only,80,0.432983,15581,5273,6,2.5979,
/os_cloud_node/points_decim_1,ZSTD only,81,0.430525,15501,5258,6,2.58315,
/os_cloud_node/points_decim_1,ZSTD only,82,0.430766,15147,5204,6,2.5846,
/os_cloud_node/points_decim_1,ZSTD only,83,0.434414,15355,5232,6,2.60648,
/os_cloud_node/points_decim_1,ZSTD only,84,0.430106,15133,5324,6,2.58064,
/os_cloud_node/points_decim_1,ZSTD only,85,0.430523,15247,5312,6,2.58314,
/os_cloud_node/points_decim_1,ZSTD only,86,0.430032,15146,5195,6,2.58019,
/os_cloud_node/points_decim_1,ZSTD only,87,0.43049,15502,5252,6,2.58294,
/os_cloud_node/points_decim_1,ZSTD only,88,0.429845,15188,5215,6,2.57907,
/os_cloud_node/points_decim_1,ZSTD only,89,0.431031,13659,5242,6,2.58619,
/os_cloud_node/points_decim_1,ZSTD only,90,0.432086,15061,5249,6,2.59252,
/os_cloud_node/points_decim_1,ZSTD only,91,0.431973,15186,5225,6,2.59184,
/os_cloud_node/points_decim_1,ZSTD only,92,0.432368,15158,5220,6,2.59421,
/os_cloud_node/points_decim_1,ZSTD only,93,0.432135,15168,5204,6,2.59281,
/os_cloud_node/points_decim_1,ZSTD only,94,0.433113,13408,5260,6,2.59868,
/os_cloud_node/points_decim_1,ZSTD only,95,0.434658,15166,5214,6,2.60795,
/os_cloud_node/points_decim_1,ZSTD only,96,0.431616,15458,5209,6,2.58969,
/os_cloud_node/points_decim_1,ZSTD only,97,0.431326,15544,5244,6,2.58795,
/os_cloud_node/points_decim_1,ZSTD only,98,0.431885,16830,5270,6,2.59131,
/os_cloud_node/points_decim_1,ZSTD only,99,0.427183,15899,5226,6,2.5631,
/os_cloud_node/points_decim_1,ZSTD only,100,0.42932,15334,5229,6,2.57592,
/os_cloud_node/points_decim_1,ZSTD only,101,0.427869,15297,5269,6,2.56721,
/os_cloud_node/points_decim_1,ZSTD only,102,0.42211,15424,5484,6,2.53266,
/os_cloud_node/points_decim_1,ZSTD only,103,0.43181,15554,5224,6,2.59086,
/os_cloud_node/points_decim_1,ZSTD only,104,0.434519,15598,5364,6,2.60711,
/os_cloud_node/points_decim_1,ZSTD only,105,0.431051,15678,5311,6,2.58631,
/os_cloud_node/points_decim_1,ZSTD only,106,0.43463,15759,5239,6,2.60778,
/os_cloud_node/points_decim_1,ZSTD only,107,0.430228,15484,5193,6,2.58137,
/os_cloud_node/points_decim_1,ZSTD only,108,0.427548,15228,5160,6,2.56529,
/os_cloud_node/points_decim_1,ZSTD only,109,0.428369,15320,5293,6,2.57022,
/os_cloud_node/points_decim_1,ZSTD only,110,0.427449,15308,5194,6,2.56469,
/os_cloud_node/points_decim_1,ZSTD only,111,0.429262,15669,5237,6,2.57557,
/os_cloud_node/points_decim_1,ZSTD only,112,0.43592,15761,5269,6,2.61552,
/os_cloud_node/points_decim_1,ZSTD only,113,0.433045,15185,5247,6,2.59827,
/os_cloud_node/points_decim_1,ZSTD only,114,0.434396,15536,5318,6,2.60638,
/os_cloud_node/points_decim_1,ZSTD only,115,0.43553,15443,5225,6,2.61318,
/os_cloud_node/points_decim_1,ZSTD only,116,0.433227,15514,5227,6,2.59936,
/os_cloud_node/points_decim_1,ZSTD only,117,0.43407,15552,5224,6,2.60442,
/os_cloud_node/points_decim_1,ZSTD only,118,0.432938,15589,5230,6,2.59763,
/os_cloud_node/points_decim_1,ZSTD only,119,0.431515,15278,5237,6,2.58909,
/os_cloud_node/points_decim_1,ZSTD only,120,0.431583,15565,5229,6,2.5895,
/os_cloud_node/points_decim_1,ZSTD only,121,0.434437,15722,5277,6,2.60662,
/os_cloud_node/points_decim_1,ZSTD only,122,0.433682,15549,5242,6,2.60209,
/os_cloud_node/points_decim_1,ZSTD only,123,0.433067,15280,5251,6,2.5984,
/os_cloud_node/points_decim_1,ZSTD only,124,0.428975,15725,5242,6,2.57385,
/os_cloud_node/points_decim_1,ZSTD only,125,0.430922,15781,5282,6,2.58553,
/os_cloud_node/points_decim_1,ZSTD only,126,0.428626,15347,5175,6,2.57175,
/os_cloud_node/points_decim_1,ZSTD only,127,0.429742,15377,5203,6,2.57845,
/os_cloud_node/points_decim_1,ZSTD only,128,0.428887,15094,5182,6,2.57332,
/os_cloud_node/points_decim_1,ZSTD only,129,0.426678,15453,5191,6,2.56007,
/os_cloud_node/points_decim_1,ZSTD only,130,0.427636,14930,5160,6,2.56582,
