data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size,slam_method,rmse,mean,median,std,min,max,sse
ciampino,draco,26040467346.0,10.0,10.0,14.0,,,,,,,,,
ciampino,uncompressed,58896690805.0,,,,,LOAM,5.92,,,,,16.33,
ciampino,uncompressed,58896690805.0,,,,,LOAM,5.92,,,,,16.33,
ciampino,uncompressed,58896690805.0,,,,,SPARK-FAST-LIO,4.94,,,,,11.54,
ciampino,uncompressed,58896690805.0,,,,,SPARK-FAST-LIO,4.94,,,,,11.54,
ciampino,uncompressed,58896690805.0,,,,,,,,,,,,
cloister,cloudini,5274888252.0,,,0.001,,LIORF,5.782829918434559,3.1490403769299955,1.3626878611249025,4.850223352589698,0.4863243339228738,20.53950546056638,93100.08327366853
cloister,cloudini,5274888252.0,,,0.001,,LOAM,0.12,,,,,0.33,
cloister,cloudini,5274888252.0,,,0.001,,SPARK-FAST-LIO,0.06,,,,,0.15,
cloister,cloudini,4979576004.0,,,0.01,,LIORF,4.215330839211742,2.490327715317268,1.3312575568272085,3.401070707046862,0.4556553502915737,14.79380109490248,49451.16619579862
cloister,cloudini,4979576004.0,,,0.01,,LOAM,0.12,,,,,0.33,
cloister,cloudini,4979576004.0,,,0.01,,SPARK-FAST-LIO,0.06,,,,,0.16,
cloister,cloudini,4849259860.0,,,0.1,4.5,KISS-ICP,0.6337885983934528,0.4382492834733816,0.307482390462932,0.4578488320271278,0.0304969665035265,3.1724483149684803,1119.5044210330088
cloister,cloudini,4849259860.0,,,0.1,4.5,LIORF,3.428831882647411,1.824949695682684,0.9816104382237838,2.902834250811966,0.1646803144189463,13.903573835425291,32719.41952513548
cloister,cloudini,4849259860.0,,,0.1,,LOAM,0.13,,,,,0.33,
cloister,cloudini,4849259860.0,,,0.1,,LOAM,0.13,,,,,0.33,
cloister,cloudini,4849259860.0,,,0.1,,SPARK-FAST-LIO,0.07,,,,,0.19,
cloister,cloudini,4849259860.0,,,0.1,,SPARK-FAST-LIO,0.07,,,,,0.19,
cloister,cloudini,4800823136.0,,,0.2,4.5,KISS-ICP,0.5614869978811088,0.3454290737662898,0.1989428167431334,0.4426583375318975,0.007073156985318,2.670697805314368,878.6509371764486
cloister,cloudini,4800823136.0,,,0.2,4.5,LIORF,4.542806623400429,2.2483302845471864,0.9059008760647462,3.947417250456147,0.1587930613629628,15.826889017150409,57453.66417702847
