data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size,slam_method,rmse,mean,median,std,min,max,sse
cloister,draco,6222531168.0,6.0,9.0,20.0,5.8,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6222531168.0,9.0,0.0,20.0,5.8,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6222531168.0,9.0,3.0,20.0,5.8,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6222531168.0,9.0,6.0,20.0,5.8,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,6222531168.0,9.0,9.0,20.0,5.8,KISS-ICP,0.4048594766237875,0.3225252286412458,0.2510549533365425,0.2447216228738264,0.0175114072441179,1.363618227430478,456.8205027282869
cloister,draco,4618507360.0,0.0,0.0,20.0,4.3,KISS-ICP,0.8256993066602115,0.4235446584788669,0.1942005462751272,0.7087942348052599,0.0065505737389979,4.168455738369072,1900.1190345683824
cloister,draco,4618507360.0,0.0,3.0,20.0,4.3,KISS-ICP,0.8256993066602115,0.4235446584788669,0.1942005462751272,0.7087942348052599,0.0065505737389979,4.168455738369072,1900.1190345683824
cloister,draco,4618507360.0,3.0,0.0,20.0,4.3,KISS-ICP,0.8256993066602115,0.4235446584788669,0.1942005462751272,0.7087942348052599,0.0065505737389979,4.168455738369072,1900.1190345683824
cloister,draco,4618507360.0,3.0,3.0,20.0,4.3,KISS-ICP,0.8256993066602115,0.4235446584788669,0.1942005462751272,0.7087942348052599,0.0065505737389979,4.168455738369072,1900.1190345683824
cloister,raw_packets,4443375765.0,,,,,,,,,,,,
cloister,uncompressed,17541329300.0,,,,,LOAM,0.12,,,,,0.33,
cloister,uncompressed,17541329300.0,,,,,LOAM,0.12,,,,,0.33,
cloister,uncompressed,17541329300.0,,,,,SPARK-FAST-LIO,0.06,,,,,0.16,
cloister,uncompressed,17541329300.0,,,,,SPARK-FAST-LIO,0.06,,,,,0.16,
cloister,uncompressed,17541329300.0,,,,,,,,,,,,
colosseo,cloudini,28546309671.0,,,0.001,,LOAM,2.85,,,,,6.18,
colosseo,cloudini,28546309671.0,,,0.001,,SPARK-FAST-LIO,3.19,,,,,7.36,
colosseo,cloudini,28546309671.0,,,0.001,,,,,,,,,
colosseo,cloudini,27968827143.0,,,0.01,,LOAM,3.01,,,,,6.09,
colosseo,cloudini,27968827143.0,,,0.01,,SPARK-FAST-LIO,3.11,,,,,7.25,
colosseo,cloudini,27968827143.0,,,0.01,,,,,,,,,
colosseo,cloudini,26376482167.0,,,0.1,,LOAM,2.53,,,,,4.97,
colosseo,cloudini,26376482167.0,,,0.1,,SPARK-FAST-LIO,2.54,,,,,6.0,
colosseo,cloudini,26376482167.0,,,0.1,,,,,,,,,
colosseo,cloudini,26037993371.0,,,0.2,,LOAM,3.76,,,,,7.7,
colosseo,cloudini,26037993371.0,,,0.2,,SPARK-FAST-LIO,1.95,,,,,4.53,
colosseo,cloudini,26037993371.0,,,0.2,,,,,,,,,
colosseo,cloudini,25829727887.0,,,0.5,,LOAM,140.04,,,,,325.42,
colosseo,cloudini,25829727887.0,,,0.5,,SPARK-FAST-LIO,2.52,,,,,6.71,
colosseo,cloudini,25829727887.0,,,0.5,,,,,,,,,
colosseo,draco,21673349010.0,10.0,10.0,6.0,,LOAM,133.98,,,,,187.65,
colosseo,draco,21673349010.0,10.0,10.0,6.0,,SPARK-FAST-LIO,538335794.96,,,,,839309676.98,
colosseo,draco,21673349010.0,10.0,10.0,6.0,,,,,,,,,
colosseo,draco,21680066826.0,10.0,10.0,8.0,,LOAM,14.67,,,,,34.99,
colosseo,draco,21680066826.0,10.0,10.0,8.0,,SPARK-FAST-LIO,3.11,,,,,6.59,
colosseo,draco,21680066826.0,10.0,10.0,8.0,,,,,,,,,
colosseo,draco,21750601670.0,10.0,10.0,10.0,,LOAM,2.25,,,,,5.11,
colosseo,draco,21750601670.0,10.0,10.0,10.0,,SPARK-FAST-LIO,2.96,,,,,7.16,
colosseo,draco,21750601670.0,10.0,10.0,10.0,,,,,,,,,
colosseo,draco,22010438274.0,10.0,10.0,12.0,,LOAM,2.3,,,,,4.42,
colosseo,draco,22010438274.0,10.0,10.0,12.0,,SPARK-FAST-LIO,3.5,,,,,8.19,
colosseo,draco,22010438274.0,10.0,10.0,12.0,,,,,,,,,
colosseo,draco,22683147630.0,10.0,10.0,14.0,,LOAM,1.9,,,,,4.05,
colosseo,draco,22683147630.0,10.0,10.0,14.0,,SPARK-FAST-LIO,3.54,,,,,8.56,
colosseo,draco,22683147630.0,10.0,10.0,14.0,,,,,,,,,
colosseo,uncompressed,67076372235.0,,,,,LOAM,2.81,,,,,6.23,
colosseo,uncompressed,67076372235.0,,,,,LOAM,2.81,,,,,6.23,
colosseo,uncompressed,67076372235.0,,,,,SPARK-FAST-LIO,3.18,,,,,7.3,
colosseo,uncompressed,67076372235.0,,,,,SPARK-FAST-LIO,3.18,,,,,7.3,
colosseo,uncompressed,67076372235.0,,,,,,,,,,,,
diag,cloudini,32650949513.0,,,0.001,,LOAM,0.41,,,,,1.26,
diag,cloudini,32650949513.0,,,0.001,,SPARK-FAST-LIO,0.9,,,,,1.77,
diag,cloudini,32650949513.0,,,0.001,,,,,,,,,
diag,cloudini,31676179597.0,,,0.01,,LOAM,0.35,,,,,1.05,
diag,cloudini,31676179597.0,,,0.01,,SPARK-FAST-LIO,0.9,,,,,1.78,
diag,cloudini,31676179597.0,,,0.01,,,,,,,,,
diag,cloudini,30180657669.0,,,0.1,,LOAM,0.87,,,,,2.38,
diag,cloudini,30180657669.0,,,0.1,,SPARK-FAST-LIO,0.7,,,,,1.64,
diag,cloudini,30180657669.0,,,0.1,,,,,,,,,
diag,cloudini,29685848049.0,,,0.2,,LOAM,0.99,,,,,2.91,
diag,cloudini,29685848049.0,,,0.2,,SPARK-FAST-LIO,0.56,,,,,1.24,
diag,cloudini,29685848049.0,,,0.2,,,,,,,,,
diag,cloudini,29250191625.0,,,0.5,,LOAM,18.38,,,,,30.84,
diag,cloudini,29250191625.0,,,0.5,,SPARK-FAST-LIO,5.15,,,,,9.8,
diag,cloudini,29250191625.0,,,0.5,,,,,,,,,
diag,draco,26584880282.0,10.0,10.0,6.0,,LOAM,52.24,,,,,125.68,
diag,draco,26584880282.0,10.0,10.0,6.0,,SPARK-FAST-LIO,121821.15,,,,,265429.07,
diag,draco,26584880282.0,10.0,10.0,6.0,,,,,,,,,
diag,draco,26617915038.0,10.0,10.0,8.0,,LOAM,3.25,,,,,7.83,
diag,draco,26617915038.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.45,,,,,1.14,
diag,draco,26617915038.0,10.0,10.0,8.0,,,,,,,,,
diag,draco,26840071238.0,10.0,10.0,10.0,,LOAM,0.77,,,,,1.69,
diag,draco,26840071238.0,10.0,10.0,10.0,,SPARK-FAST-LIO,0.6,,,,,1.21,
diag,draco,26840071238.0,10.0,10.0,10.0,,,,,,,,,
diag,draco,27517378082.0,10.0,10.0,12.0,,LOAM,0.35,,,,,1.15,
diag,draco,27517378082.0,10.0,10.0,12.0,,SPARK-FAST-LIO,0.73,,,,,1.59,
diag,draco,27517378082.0,10.0,10.0,12.0,,,,,,,,,
diag,draco,28967586510.0,10.0,10.0,14.0,,LOAM,0.54,,,,,1.36,
diag,draco,28967586510.0,10.0,10.0,14.0,,SPARK-FAST-LIO,0.73,,,,,1.67,
diag,draco,28967586510.0,10.0,10.0,14.0,,,,,,,,,
diag,uncompressed,76275330685.0,,,,,LOAM,0.61,,,,,1.66,
diag,uncompressed,76275330685.0,,,,,LOAM,0.61,,,,,1.66,
diag,uncompressed,76275330685.0,,,,,SPARK-FAST-LIO,0.74,,,,,1.54,
diag,uncompressed,76275330685.0,,,,,SPARK-FAST-LIO,0.74,,,,,1.54,
diag,uncompressed,76275330685.0,,,,,,,,,,,,
maths_institute,cloudini,4086275272.0,,,0.001,,LIORF,0.1782214948164903,0.1595674680731268,0.1485115912888201,0.0793796217385541,0.0121524888976836,0.6267722280913911,68.48081501872997
maths_institute,cloudini,4086275272.0,,,0.001,,LOAM,0.09,,,,,0.19,
maths_institute,cloudini,4086275272.0,,,0.001,,SPARK-FAST-LIO,0.1,,,,,0.43,
maths_institute,cloudini,3860211544.0,,,0.01,,LIORF,0.1796813167899648,0.1613599217316271,0.1505886276690382,0.0790465132826165,0.0098660824983763,0.646119374259174,69.60726980087799
maths_institute,cloudini,3860211544.0,,,0.01,,LOAM,0.09,,,,,0.18,
maths_institute,cloudini,3860211544.0,,,0.01,,SPARK-FAST-LIO,0.1,,,,,0.43,
maths_institute,cloudini,3718506612.0,,,0.1,3.5,KISS-ICP,0.1427088589051215,0.1294783917071815,0.120488904276686,0.0600097033064116,0.0098576472566951,0.3830669892532891,43.9901677656041
maths_institute,cloudini,3718506612.0,,,0.1,3.5,LIORF,0.1844272717902911,0.1665459875810001,0.1570303032176678,0.0792202789737529,0.0122043677003536,0.6173088737649902,73.33293045850137
maths_institute,cloudini,3718506612.0,,,0.1,,LOAM,0.1,,,,,0.19,
maths_institute,cloudini,3718506612.0,,,0.1,,LOAM,0.1,,,,,0.19,
maths_institute,cloudini,3718506612.0,,,0.1,,SPARK-FAST-LIO,0.11,,,,,0.43,
maths_institute,cloudini,3718506612.0,,,0.1,,SPARK-FAST-LIO,0.11,,,,,0.43,
maths_institute,cloudini,3675694864.0,,,0.2,3.4,KISS-ICP,0.1535991430980917,0.138306122983422,0.1271927225635767,0.0668140187817093,0.0035442260633438,0.4218433858188934,50.96022500261102
maths_institute,cloudini,3675694864.0,,,0.2,3.4,LIORF,0.1857209757040238,0.1683465680262152,0.1591068174054244,0.0784328620557065,0.0083523434101021,0.6191418646884929,74.33086515945968
maths_institute,cloudini,3675694864.0,,,0.2,,LOAM,0.12,,,,,0.27,
maths_institute,cloudini,3675694864.0,,,0.2,,LOAM,0.12,,,,,0.27,
maths_institute,cloudini,3675694864.0,,,0.2,,SPARK-FAST-LIO,0.11,,,,,0.41,
maths_institute,cloudini,3675694864.0,,,0.2,,SPARK-FAST-LIO,0.11,,,,,0.41,
maths_institute,cloudini,3644589500.0,,,0.3,3.4,KISS-ICP,0.1432400065638431,0.1309653127418944,0.1251289848696665,0.0580153974288515,0.0076954804159377,0.3836774196675901,44.31823087768521
maths_institute,cloudini,3623757100.0,,,0.4,3.4,KISS-ICP,0.1699565537425296,0.1521993410965946,0.1392807175529877,0.0756345868620951,0.0141921736669013,0.5943674995856499,62.39209714568072
maths_institute,cloudini,3608090608.0,,,0.5,,LIORF,0.1860920660222056,0.166873934032563,0.1549479486100869,0.0823610780460573,0.0134940592143807,0.6331472026073378,74.6282039134699
maths_institute,cloudini,3608090608.0,,,0.5,,LOAM,1.05,,,,,3.26,
maths_institute,cloudini,3608090608.0,,,0.5,,SPARK-FAST-LIO,0.21,,,,,0.57,
maths_institute,cloudini,3597373568.0,,,0.6,3.4,KISS-ICP,26.326024615460103,24.60009870813909,26.67507537839432,9.375218162988247,6.512236094625965,38.12017660498302,1497008.6756362324
maths_institute,cloudini,3582529848.0,,,0.8,3.3,KISS-ICP,26.32662751282381,24.600516357818314,26.675426421114302,9.375815224698336,6.512846982580166,38.12087278219639,1497077.2429897783
maths_institute,draco,3164954616.0,10.0,10.0,6.0,3.0,KISS-ICP,0.8047362775580411,0.6334621428482867,0.4628680054492483,0.4963125930258362,0.0166009967574017,3.755760191929952,1398.817029062821
maths_institute,draco,3164954616.0,10.0,10.0,6.0,3.0,LIORF,4069.619685408666,2899.2272532935644,863.1404131490398,2855.9211679641267,486.67097722457817,14119.607881469752,17837063321.42339
maths_institute,draco,3164954616.0,10.0,10.0,6.0,,LOAM,15.86,,,,,33.8,
maths_institute,draco,3164954616.0,10.0,10.0,6.0,,LOAM,15.86,,,,,33.8,
maths_institute,draco,3164954616.0,10.0,10.0,6.0,,SPARK-FAST-LIO,0.99,,,,,2.56,
maths_institute,draco,3164954616.0,10.0,10.0,6.0,,SPARK-FAST-LIO,0.99,,,,,2.56,
maths_institute,draco,3165096216.0,10.0,10.0,7.0,3.0,KISS-ICP,0.1967035950673856,0.1774511339732694,0.1657195561220712,0.0848728423232943,0.0140063611056968,0.679381893616314,83.57537731485746
maths_institute,draco,3165096216.0,10.0,10.0,7.0,3.0,LIORF,0.243138050267242,0.2184922954854655,0.2034490267596958,0.1066640909643351,0.0122592444995315,1.2965937186075556,127.39522025611402
maths_institute,draco,3166077676.0,10.0,10.0,8.0,3.0,KISS-ICP,0.1328632868124217,0.1187848869069426,0.1104152438134239,0.0595214551662228,0.0078191928158102,0.4177237128565235,38.12973044241564
maths_institute,draco,3166077676.0,10.0,10.0,8.0,3.0,LIORF,0.1988348508990627,0.1812167832133527,0.1703613396333403,0.0818277178824952,0.0169743152052066,0.5947198715408081,85.19856704357318
maths_institute,draco,3166077676.0,10.0,10.0,8.0,,LOAM,0.14,,,,,0.32,
maths_institute,draco,3166077676.0,10.0,10.0,8.0,,LOAM,0.14,,,,,0.32,
maths_institute,draco,3166077676.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.29,,,,,0.59,
maths_institute,draco,3166077676.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.29,,,,,0.59,
maths_institute,draco,3170441468.0,10.0,10.0,9.0,3.0,KISS-ICP,0.1179206961509136,0.1055998691434396,0.097769997664688,0.0524781689620027,0.0073883928786035,0.3700668836459007,30.03542765434676
maths_institute,draco,3170441468.0,10.0,10.0,9.0,3.0,LIORF,0.1966754070699561,0.1781046834029561,0.1685106151161093,0.0834262398533321,0.0079525535324133,0.599163540741872,83.35801993291648
maths_institute,draco,3183734792.0,10.0,10.0,10.0,3.0,KISS-ICP,0.1143834628462178,0.1027592869427331,0.0958600112369287,0.0502404769057093,0.0049448545290985,0.3146847573256185,28.260525397014906
maths_institute,draco,3183734792.0,10.0,10.0,10.0,3.0,LIORF,0.1888256699909526,0.1707368535990693,0.1617279540922915,0.0806477555212922,0.0092067331603728,0.585289017730794,76.83681301043178
maths_institute,draco,3183734792.0,10.0,10.0,10.0,,LOAM,0.1,,,,,0.19,
maths_institute,draco,3183734792.0,10.0,10.0,10.0,,LOAM,0.1,,,,,0.19,
maths_institute,draco,3183734792.0,10.0,10.0,10.0,,SPARK-FAST-LIO,0.17,,,,,0.44,
maths_institute,draco,3183734792.0,10.0,10.0,10.0,,SPARK-FAST-LIO,0.17,,,,,0.44,
maths_institute,draco,3213153556.0,10.0,10.0,11.0,3.0,KISS-ICP,0.1130781799773927,0.1016257642803899,0.0948439314085139,0.0495870832115203,0.0076720590322943,0.342296900790785,27.61921753991919
maths_institute,draco,3213153556.0,10.0,10.0,11.0,3.0,LIORF,0.1961277705498716,0.1780629952290404,0.1685058978572682,0.0822172251473243,0.0120352951509368,0.596242965927323,82.89445063075993
maths_institute,draco,3174103348.0,0.0,6.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3262010796.0,0.0,9.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3174103348.0,3.0,6.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3262010796.0,3.0,9.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3174103348.0,6.0,0.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3174103348.0,6.0,3.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3174103348.0,6.0,6.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3262010796.0,6.0,9.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3262010796.0,9.0,0.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3262010796.0,9.0,3.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3262010796.0,9.0,6.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,3262010796.0,9.0,9.0,12.0,,KISS-ICP,0.1101314339669305,0.0998593235905725,0.0940892235346125,0.0464440334127615,0.0054720068128545,0.3027871695291803,26.198494734842765
maths_institute,draco,2484387296.0,0.0,0.0,12.0,,KISS-ICP,0.114892906004135,0.1043759153282418,0.0973493571109048,0.0480213301509518,0.0081581367703558,0.3113430444360977,28.51282047616203
maths_institute,draco,2484387296.0,0.0,3.0,12.0,,KISS-ICP,0.114892906004135,0.1043759153282418,0.0973493571109048,0.0480213301509518,0.0081581367703558,0.3113430444360977,28.51282047616203
maths_institute,draco,2484387296.0,3.0,0.0,12.0,,KISS-ICP,0.114892906004135,0.1043759153282418,0.0973493571109048,0.0480213301509518,0.0081581367703558,0.3113430444360977,28.51282047616203
maths_institute,draco,2484387296.0,3.0,3.0,12.0,,KISS-ICP,0.114892906004135,0.1043759153282418,0.0973493571109048,0.0480213301509518,0.0081581367703558,0.3113430444360977,28.51282047616203
maths_institute,draco,3262010796.0,10.0,10.0,12.0,,LOAM,0.09,,,,,0.19,
maths_institute,draco,3262010796.0,10.0,10.0,12.0,,SPARK-FAST-LIO,0.14,,,,,0.41,
maths_institute,draco,3262010796.0,10.0,10.0,12.0,,,,,,,,,
maths_institute,draco,3330458312.0,0.0,6.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3418576528.0,0.0,9.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3330458312.0,3.0,6.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3418576528.0,3.0,9.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3330458312.0,6.0,0.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3330458312.0,6.0,3.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3330458312.0,6.0,6.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3418576528.0,6.0,9.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3418576528.0,9.0,0.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3418576528.0,9.0,3.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3418576528.0,9.0,6.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,3418576528.0,9.0,9.0,14.0,,KISS-ICP,0.106902585224889,0.0964446348986043,0.0896989643446063,0.0461150206227815,0.003112915922848,0.2962357200096289,24.684831491971664
maths_institute,draco,2640028980.0,0.0,0.0,14.0,,KISS-ICP,0.1144836368325064,0.1042650161486005,0.097865702675095,0.0472790599518358,0.0068128497534455,0.3048955562198026,28.310046701178017
maths_institute,draco,2640028980.0,0.0,3.0,14.0,,KISS-ICP,0.1144836368325064,0.1042650161486005,0.097865702675095,0.0472790599518358,0.0068128497534455,0.3048955562198026,28.310046701178017
maths_institute,draco,2640028980.0,3.0,0.0,14.0,,KISS-ICP,0.1144836368325064,0.1042650161486005,0.097865702675095,0.0472790599518358,0.0068128497534455,0.3048955562198026,28.310046701178017
maths_institute,draco,2640028980.0,3.0,3.0,14.0,,KISS-ICP,0.1144836368325064,0.1042650161486005,0.097865702675095,0.0472790599518358,0.0068128497534455,0.3048955562198026,28.310046701178017
maths_institute,draco,3418576528.0,10.0,10.0,14.0,,LOAM,0.09,,,,,0.19,
maths_institute,draco,3418576528.0,10.0,10.0,14.0,,SPARK-FAST-LIO,0.15,,,,,0.42,
maths_institute,draco,3418576528.0,10.0,10.0,14.0,,,,,,,,,
maths_institute,draco,3575436088.0,0.0,6.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3656877248.0,0.0,9.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3575436088.0,3.0,6.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3656877248.0,3.0,9.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3575436088.0,6.0,0.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3575436088.0,6.0,3.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3575436088.0,6.0,6.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3656877248.0,6.0,9.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3656877248.0,9.0,0.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3656877248.0,9.0,3.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3656877248.0,9.0,6.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,3656877248.0,9.0,9.0,16.0,,KISS-ICP,0.1071716045450195,0.0961968534852964,0.0882437936404564,0.0472431815215958,0.0082470883624256,0.3146222687229943,24.80922609282875
maths_institute,draco,2796429560.0,0.0,0.0,16.0,,KISS-ICP,0.1176394732017869,0.1074785208278624,0.1014323594201419,0.0478269089096157,0.0035230116778221,0.3246814218674927,29.892338615218907
maths_institute,draco,2796429560.0,0.0,3.0,16.0,,KISS-ICP,0.1176394732017869,0.1074785208278624,0.1014323594201419,0.0478269089096157,0.0035230116778221,0.3246814218674927,29.892338615218907
maths_institute,draco,2796429560.0,3.0,0.0,16.0,,KISS-ICP,0.1176394732017869,0.1074785208278624,0.1014323594201419,0.0478269089096157,0.0035230116778221,0.3246814218674927,29.892338615218907
maths_institute,draco,2796429560.0,3.0,3.0,16.0,,KISS-ICP,0.1176394732017869,0.1074785208278624,0.1014323594201419,0.0478269089096157,0.0035230116778221,0.3246814218674927,29.892338615218907
maths_institute,draco,3910778672.0,0.0,6.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3985163396.0,0.0,9.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3910778672.0,3.0,6.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3985163396.0,3.0,9.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3910778672.0,6.0,0.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3910778672.0,6.0,3.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3910778672.0,6.0,6.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3985163396.0,6.0,9.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3985163396.0,9.0,0.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3985163396.0,9.0,3.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3985163396.0,9.0,6.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,3985163396.0,9.0,9.0,18.0,,KISS-ICP,0.1094833308979231,0.0987425881332279,0.0916558868205622,0.0472916592355971,0.0048386133867991,0.3071303459796347,25.89105544812891
maths_institute,draco,2952693764.0,0.0,0.0,18.0,,KISS-ICP,0.116929957185686,0.1069137920588199,0.1015549598232814,0.0473503532727028,0.0101777413145464,0.3140909750808141,29.53284815688414
