data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size
park,draco,,3,0,12,17.3
park,draco,,6,0,14,22.7
park,draco,,9,9,20,29.9
park,draco,,6,3,12,21.7
park,draco,,3,0,18,20.6
park,draco,,0,3,14,18.4
park,draco,,6,0,16,24.4
park,draco,,0,6,12,21.7
park,draco,,6,0,20,29.5
park,draco,,9,6,14,23.3
park,draco,,3,9,20,29.9
park,draco,,0,3,16,19.5
park,draco,,0,0,20,21.6
park,draco,,9,9,14,23.3
park,draco,,0,3,20,21.6
park,draco,,0,9,14,23.3
park,draco,,3,3,16,19.5
park,draco,,6,0,12,21.7
park,draco,,0,6,16,24.4
park,draco,,0,9,18,27.2
park,draco,,3,6,20,29.5
park,draco,,3,3,12,17.3
park,draco,,0,9,12,22.3
park,draco,,3,0,16,19.5
