data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size
stairs,draco,2046464400,6,3,16,1.9
maths_institute,draco,4365303836,6,9,20,
DIAG,draco,26840071238,10,10,10,
Ciampino,cloudini,24597365517,,,0.2,
stairs,draco,2331260700,3,6,18,2.2
stairs,draco,1809190320,3,6,14,1.7
underground_mine,draco,2324557832,3,0,18,2.2
underground_mine,raw_packets,2251561430,,,,
maths_institute,draco,3985163396,3,9,18,
maths_institute,draco,3174103348,0,6,12,
underground_mine,draco,2648470272,6,6,16,2.5
maths_institute,draco,3174103348,6,0,12,
Ciampino,draco,25122177574,10,10,12,
maths_institute,draco,3575436088,3,6,16,
stairs,draco,2046464400,0,6,16,1.9
cloister,cloudini,4724143400,,,0.4,4.4
stairs,draco,2654520880,9,3,20,2.5
maths_institute,draco,2952693764,0,3,18,
cloister,draco,5588947028,9,6,18,5.2
maths_institute,draco,4294576260,0,6,20,
cloister,draco,5502160384,6,6,18,5.1
underground_mine,draco,2203978848,10,10,9,2.1
cloister,draco,4121511892,3,0,16,3.8
cloister,draco,4618507360,0,3,20,4.3
maths_institute,draco,3418576528,0,9,14,
underground_mine,draco,2961161592,6,6,18,2.8
cloister,draco,6137414384,0,6,20,5.7
maths_institute,draco,3106625776,0,0,20,
maths_institute,cloudini,3860211544,,,0.01,
cloister,draco,6222531168,9,9,20,5.8
stairs,draco,2331260700,6,0,18,2.2
underground_mine,draco,2195803992,10,10,8,2.0
underground_mine,cloudini,2367981968,,,0.6,2.2
underground_mine,cloudini,2656586524,,,0.001,
maths_institute,draco,3418576528,9,0,14,
underground_mine,draco,2697176524,9,3,16,2.5
stairs,draco,2331260700,6,6,18,2.2
underground_mine,draco,2253407780,6,3,12,2.1
maths_institute,draco,3183734792,10,10,10,3.0
Spagna,cloudini,41514314340,,,0.5,
Colosseo,draco,22683147630,10,10,14,
underground_mine,draco,2648470272,0,6,16,2.5
Ciampino,cloudini,26274598077,,,0.01,
underground_mine,draco,2463703764,0,9,14,2.3
stairs,draco,2371516800,9,9,18,2.2
maths_institute,draco,2640028980,3,3,14,
Ciampino,uncompressed,58896690805,,,,
underground_mine,cloudini,2378719716,,,0.5,
maths_institute,draco,3106625776,3,3,20,
underground_mine,draco,2253407780,0,6,12,2.1
underground_mine,draco,2648470272,3,6,16,2.5
cloister,draco,3619824816,3,0,12,3.4
stairs,draco,2654520880,9,6,20,2.5
maths_institute,draco,3262010796,9,0,12,
cloister,draco,5048870492,6,9,16,4.7
underground_mine,draco,2648470272,6,3,16,2.5
underground_mine,draco,2191394388,10,10,7,2.0
stairs,draco,1588857144,10,10,10,1.5
underground_mine,draco,2453055916,0,3,20,2.3
maths_institute,draco,3910778672,6,0,18,
quad_easy,cloudini,3418191939,,,0.3,2.3
stairs,cloudini,1895422522,,,0.1,1.8
maths_institute,draco,3330458312,3,6,14,
underground_mine,draco,2463703764,9,0,14,2.3
cloister,draco,6137414384,3,6,20,5.7
underground_mine,draco,2059052580,0,3,14,1.9
maths_institute,cloudini,3597373568,,,0.6,3.4
maths_institute,draco,3330458312,6,6,14,
cloister,draco,5502160384,6,3,18,5.1
cloister,draco,5588947028,6,9,18,5.2
maths_institute,draco,3656877248,9,9,16,
underground_mine,draco,2410122860,0,6,14,2.2
maths_institute,draco,3575436088,6,0,16,
cloister,draco,4121511892,0,3,16,3.8
maths_institute,draco,3262010796,9,9,12,
