topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,uniform 0.010000,432,0.72675,0.085826,0.000106577,13173,1239.15,8.80049e-06,0,0,1,3.625,2.63447
/os_cloud_node/points_decim_1,uniform 0.020000,432,0.705921,0.0787001,0.000319003,12714.1,1203.64,7.46804e-07,0,0,1,3.625,2.55897
/os_cloud_node/points_decim_1,uniform 0.050000,432,0.565931,0.0592753,0.622077,10557.3,832.618,3.05944e-36,0,0,1,3.625,2.0515
/os_cloud_node/points_decim_1,uniform 0.100000,432,0.383481,0.0475648,0.148041,8836.44,494.258,1.33798e-15,0,0,1,3.625,1.39012
/os_cloud_node/points_decim_1,uniform 0.200000,432,0.20436,0.03407,0.000183154,6821.99,337.033,2.16443e-10,0,0,1,3.625,0.740804
/os_cloud_node/points_decim_1,uniform 0.500000,432,0.0607035,0.0134383,0.000157241,5258.66,165.552,0.641741,0,0,1,3.625,0.22005
/os_cloud_node/points_decim_1,random 0.100000,432,0.0999985,0,1,1784.39,57.1139,0,0,0,1,3.625,0.362494
/os_cloud_node/points_decim_1,random 0.200000,432,0.199997,0,1,1926.91,38.5239,7.70328e-21,0,0,1,3.625,0.724989
/os_cloud_node/points_decim_1,random 0.300000,432,0.299995,0,1,2117.48,47.2729,1.16243e-17,0,0,1,3.625,1.08748
/os_cloud_node/points_decim_1,random 0.400000,432,0.399994,0,1,2319.15,50.2237,5.72467e-17,0,0,1,3.625,1.44998
/os_cloud_node/points_decim_1,random 0.600000,432,0.599998,0,1,2457.63,61.1318,0.197707,0,0,1,3.625,2.17499
/os_cloud_node/points_decim_1,random 0.800000,432,0.799995,0,1,2329.7,80.9321,8.45182e-07,0,0,1,3.625,2.89998
